Product id,Product position,Promotion,Seasonal,Sales volume,Price,Terms,Section,Revenue
185102,Aisle,No,No,2823,19.99,Jackets,Man,56431.77
188771,Aisle,No,No,654,169.0,Jackets,Man,110526.0
180176,End-Cap,Yes,Yes,2220,129.0,Jackets,Man,286380.0
112917,Aisle,Yes,Yes,1568,129.0,Jackets,Man,202272.0
192936,End-Cap,No,Yes,2942,139.0,Jackets,Man,408938.0
117590,End-Cap,No,No,2968,79.9,Jackets,Man,237143.2
189118,Front Of Store,Yes,Yes,952,69.99,Jackets,Man,66630.48
182157,Aisle,No,No,2421,159.0,Jackets,Man,384939.0
141861,Aisle,Yes,Yes,1916,169.0,Jackets,Man,323804.0
137121,Aisle,No,Yes,656,169.0,Jackets,Man,110864.0
113143,Aisle,Yes,Yes,2663,129.0,Jackets,Man,343527.0
140028,Aisle,Yes,Yes,1260,159.0,Jackets,Man,200340.0
134693,Aisle,Yes,No,2124,169.0,Jackets,Man,358956.0
151396,Front Of Store,Yes,Yes,729,439.0,Jackets,Man,320031.0
132889,Aisle,Yes,Yes,2265,99.9,Jackets,Man,226273.5
152174,End-Cap,No,No,2226,99.9,Jackets,Man,222377.4
129906,Aisle,No,No,2089,69.9,Jackets,Man,146021.1
195879,Front Of Store,Yes,Yes,2339,129.0,Jackets,Man,301731.0
155050,Aisle,No,Yes,2321,129.0,Jackets,Man,299409.0
194410,End-Cap,No,No,669,159.0,Jackets,Man,106371.0
141904,End-Cap,Yes,Yes,1712,109.0,Jackets,Man,186608.0
124981,Front Of Store,No,Yes,1832,89.9,Jackets,Man,164696.8
161909,Aisle,Yes,No,1290,299.0,Jackets,Man,385710.0
129152,End-Cap,No,No,2356,49.9,Jackets,Man,117564.4
183243,Front Of Store,Yes,No,1524,169.0,Jackets,Man,257556.0
198248,Front Of Store,Yes,No,1644,69.9,Jackets,Man,114915.6
191230,End-Cap,No,No,966,89.9,Jackets,Man,86843.4
187234,Front Of Store,Yes,Yes,2575,59.9,Jackets,Man,154242.5
148888,Front Of Store,No,No,2774,109.0,Jackets,Man,302366.0
110805,Front Of Store,Yes,No,2477,159.0,Jackets,Man,393843.0
179801,Front Of Store,No,Yes,2608,129.0,Jackets,Man,336432.0
134927,Aisle,Yes,Yes,2252,129.0,Jackets,Man,290508.0
123150,End-Cap,Yes,No,2074,129.0,Jackets,Man,267546.0
159145,End-Cap,Yes,No,2579,109.0,Jackets,Man,281111.0
172364,Aisle,Yes,No,2931,109.0,Jackets,Man,319479.0
178281,End-Cap,No,Yes,1145,109.0,Jackets,Man,124805.0
194339,End-Cap,No,No,1792,89.9,Jackets,Man,161100.8
174412,Aisle,No,Yes,1796,69.9,Jackets,Man,125540.4
114877,Aisle,No,No,1860,349.0,Jackets,Man,649140.0
140727,End-Cap,Yes,Yes,1002,79.9,Jackets,Man,80059.8
133109,Front Of Store,No,Yes,2063,79.9,Jackets,Man,164833.7
127296,Aisle,No,No,1165,89.9,Jackets,Man,104733.5
133757,Aisle,Yes,No,2071,129.0,Jackets,Man,267159.0
111760,End-Cap,No,No,1474,109.0,Jackets,Man,160666.0
198375,End-Cap,No,No,2202,69.9,Jackets,Man,153919.8
168837,Aisle,No,No,665,89.9,Jackets,Man,59783.5
138505,Front Of Store,No,No,2478,69.9,Jackets,Man,173212.2
116228,End-Cap,Yes,No,647,89.9,Jackets,Man,58165.3
167592,Front Of Store,Yes,No,707,89.9,Jackets,Man,63559.3
133100,End-Cap,Yes,No,2729,89.9,Jackets,Man,245337.1
119955,Front Of Store,No,No,1590,89.9,Jackets,Man,142941.0
189349,End-Cap,Yes,No,1245,89.9,Jackets,Man,111925.5
127478,Front Of Store,No,Yes,2498,129.0,Jackets,Man,322242.0
180661,Front Of Store,No,Yes,1041,129.0,Jackets,Man,134289.0
186681,End-Cap,No,Yes,1717,19.99,Jackets,Man,34322.83
133183,Front Of Store,Yes,Yes,2859,89.9,Jackets,Man,257024.1
173508,Aisle,Yes,No,1658,129.0,Jackets,Man,213882.0
187930,End-Cap,No,Yes,706,89.9,Jackets,Man,63469.4
124088,End-Cap,Yes,Yes,2065,79.9,Jackets,Man,164993.5
190238,Front Of Store,No,Yes,1917,89.9,Jackets,Man,172338.3
151925,End-Cap,Yes,Yes,2179,299.0,Jackets,Man,651521.0
163234,Front Of Store,No,No,1633,89.9,Jackets,Man,146806.7
135610,Aisle,Yes,Yes,1513,109.0,Jackets,Man,164917.0
117065,Aisle,Yes,Yes,758,109.0,Jackets,Man,82622.0
149315,End-Cap,Yes,No,718,109.0,Jackets,Man,78262.0
149510,Aisle,No,Yes,1412,59.9,Jackets,Man,84578.8
137990,Aisle,No,No,2929,29.99,Jackets,Man,87840.71
154016,End-Cap,Yes,Yes,2366,189.0,Jackets,Man,447174.0
117751,Aisle,No,No,2749,89.9,Jackets,Man,247135.1
182362,Front Of Store,No,No,2019,69.9,Jackets,Man,141128.1
117725,Aisle,No,Yes,1506,109.0,Jackets,Man,164154.0
145289,End-Cap,No,No,1012,109.0,Jackets,Man,110308.0
173576,End-Cap,Yes,No,1838,129.0,Jackets,Man,237102.0
175059,Aisle,Yes,No,2170,49.9,Jackets,Man,108283.0
199368,Front Of Store,No,Yes,1061,139.0,Jackets,Man,147479.0
162883,Front Of Store,Yes,No,786,139.0,Jackets,Man,109254.0
135490,Front Of Store,No,No,1094,139.0,Jackets,Man,152066.0
125408,End-Cap,Yes,Yes,2220,89.9,Jackets,Man,199578.0
134763,Front Of Store,No,Yes,2048,89.9,Jackets,Man,184115.2
143231,Aisle,No,No,2578,89.9,Jackets,Man,231762.2
125409,End-Cap,Yes,No,2040,89.9,Jackets,Man,183396.0
183074,Aisle,No,No,2791,89.9,Jackets,Man,250910.9
147947,Aisle,Yes,Yes,1249,89.9,Jackets,Man,112285.1
174171,Front Of Store,Yes,Yes,2273,89.9,Jackets,Man,204342.7
183064,Front Of Store,Yes,No,1773,89.9,Jackets,Man,159392.7
177131,Aisle,Yes,Yes,1733,69.9,Jackets,Man,121136.7
128179,End-Cap,Yes,No,2060,89.9,Jackets,Man,185194.0
152723,Aisle,No,Yes,2849,169.0,Jackets,Man,481481.0
123824,Aisle,Yes,No,2277,169.0,Jackets,Man,384813.0
166345,Aisle,No,Yes,1135,69.9,Jackets,Man,79336.5
199279,Aisle,No,No,1770,19.99,Jackets,Man,35382.3
167981,End-Cap,No,No,730,139.0,Jackets,Man,101470.0
146839,Aisle,No,No,1525,109.0,Jackets,Man,166225.0
187180,Front Of Store,No,Yes,647,109.0,Jackets,Man,70523.0
167640,End-Cap,Yes,Yes,1017,109.0,Jackets,Man,110853.0
165158,Front Of Store,No,No,1622,109.0,Jackets,Man,176798.0
111521,Front Of Store,Yes,Yes,2553,99.9,Jackets,Man,255044.7
120228,End-Cap,No,No,2347,89.9,Jackets,Man,210995.3
133078,Aisle,No,Yes,2535,69.9,Jackets,Man,177196.5
137598,Aisle,No,Yes,2839,139.0,Jackets,Man,394621.0
138779,Front Of Store,Yes,Yes,2801,139.0,Jackets,Man,389339.0
198329,Front Of Store,Yes,Yes,628,109.0,Jackets,Man,68452.0
110295,End-Cap,Yes,No,1448,129.0,Jackets,Man,186792.0
196427,Aisle,Yes,No,1401,169.0,Jackets,Man,236769.0
110075,Front Of Store,Yes,Yes,2185,159.0,Jackets,Man,347415.0
132322,Front Of Store,Yes,No,2135,12.99,Jackets,Man,27733.65
199631,Front Of Store,Yes,No,1269,89.9,Jackets,Man,114083.1
182306,Front Of Store,No,No,2805,89.9,Jackets,Man,252169.5
194915,Aisle,Yes,No,1796,79.9,Jackets,Man,143500.4
131298,End-Cap,Yes,No,2133,69.9,Jackets,Man,149096.7
168571,Aisle,No,No,1778,89.9,Jackets,Man,159842.2
154224,End-Cap,Yes,No,2474,89.9,Jackets,Man,222412.6
171061,Aisle,No,Yes,2032,59.9,Jackets,Man,121716.8
119049,Aisle,No,Yes,1659,89.9,Jackets,Man,149144.1
158781,End-Cap,Yes,Yes,2443,69.9,Jackets,Man,170765.7
151438,Aisle,No,Yes,1137,69.9,Jackets,Man,79476.3
152871,End-Cap,No,Yes,1847,69.9,Jackets,Man,129105.3
126806,End-Cap,Yes,Yes,2404,109.0,Jackets,Man,262036.0
134104,End-Cap,No,Yes,1466,59.9,Jackets,Man,87813.4
120266,Front Of Store,No,No,2328,59.9,Jackets,Man,139447.2
173550,End-Cap,No,Yes,1431,59.9,Jackets,Man,85716.9
175927,End-Cap,No,Yes,1506,109.0,Jackets,Man,164154.0
154278,End-Cap,No,Yes,2749,89.9,Jackets,Man,247135.1
183537,Front Of Store,Yes,Yes,2434,19.99,Jackets,Man,48655.66
150424,Front Of Store,No,Yes,2067,79.9,Jackets,Man,165153.3
183825,Aisle,Yes,Yes,2989,19.99,Jackets,Man,59750.11
144012,Front Of Store,Yes,No,743,59.9,Jackets,Man,44505.7
147051,Front Of Store,No,No,2325,109.0,Jackets,Man,253425.0
185800,End-Cap,No,Yes,1841,109.0,Jackets,Man,200669.0
197524,Aisle,Yes,Yes,2231,49.9,Jackets,Man,111326.9
148823,Aisle,No,Yes,2211,89.9,Shoes,Man,198768.9
114550,End-Cap,No,No,2114,69.9,Shoes,Man,147768.6
125398,Aisle,Yes,Yes,1350,69.9,Shoes,Man,94365.0
123985,End-Cap,No,No,2240,69.9,Shoes,Man,156576.0
186638,End-Cap,Yes,No,1296,59.9,Shoes,Man,77630.4
167281,End-Cap,Yes,Yes,892,59.9,Shoes,Man,53430.8
118578,End-Cap,No,Yes,1678,49.9,Shoes,Man,83732.2
174041,End-Cap,No,No,2016,49.9,Shoes,Man,100598.4
127644,Front Of Store,No,Yes,1498,45.9,Shoes,Man,68758.2
132007,Aisle,No,Yes,2491,9.99,Shoes,Man,24885.09
147998,Aisle,No,No,2556,9.99,Shoes,Man,25534.44
176666,Aisle,Yes,No,2852,45.9,Shoes,Man,130906.8
193686,Aisle,Yes,No,1899,99.9,Shoes,Man,189710.1
163610,Front Of Store,Yes,No,2466,89.9,Shoes,Man,221693.4
170364,Aisle,No,No,818,45.9,Shoes,Man,37546.2
167599,Aisle,No,No,1500,59.9,Shoes,Man,89850.0
166421,End-Cap,Yes,No,2878,79.9,Shoes,Man,229952.2
129247,Front Of Store,Yes,No,2386,69.9,Shoes,Man,166781.4
127314,End-Cap,Yes,Yes,2076,99.9,Shoes,Man,207392.4
111979,Front Of Store,No,No,2734,59.9,Shoes,Man,163766.6
120354,Aisle,Yes,No,2836,59.9,Shoes,Man,169876.4
144848,Front Of Store,No,No,2193,89.9,Shoes,Man,197150.7
111957,Aisle,Yes,No,2164,89.9,Shoes,Man,194543.6
160763,Front Of Store,Yes,Yes,991,45.9,Shoes,Man,45486.9
168270,End-Cap,Yes,Yes,1525,69.9,Shoes,Man,106597.5
195082,Front Of Store,No,No,923,69.9,Shoes,Man,64517.7
110329,Front Of Store,No,Yes,2397,69.9,Shoes,Man,167550.3
147449,End-Cap,No,No,1191,69.9,Shoes,Man,83250.9
193332,Aisle,Yes,No,1237,49.9,Shoes,Man,61726.3
146804,Aisle,Yes,No,1504,69.9,Shoes,Man,105129.6
188909,Aisle,Yes,Yes,2863,39.9,Sweaters,Woman,114233.7
165910,End-Cap,Yes,No,2760,69.9,Sweaters,Woman,192924.0
136738,Front Of Store,No,Yes,542,7.99,Sweaters,Woman,4330.58
144497,End-Cap,Yes,Yes,1105,49.9,Sweaters,Woman,55139.5
135036,End-Cap,Yes,No,1435,49.9,Sweaters,Woman,71606.5
166331,Aisle,Yes,Yes,2877,59.9,Sweaters,Woman,172332.3
139789,Aisle,No,Yes,1094,69.9,Sweaters,Woman,76470.6
118569,Aisle,No,Yes,994,49.9,Sweaters,Woman,49600.6
155848,End-Cap,Yes,No,1942,49.9,Sweaters,Woman,96905.8
152563,Front Of Store,No,Yes,2572,169.0,Sweaters,Woman,434668.0
115153,Aisle,No,No,1736,79.9,Sweaters,Woman,138706.4
125938,Aisle,Yes,Yes,1204,49.9,Sweaters,Woman,60079.6
122809,End-Cap,No,Yes,1592,49.9,Sweaters,Woman,79440.8
181502,Front Of Store,Yes,No,2591,39.9,Sweaters,Woman,103380.9
182779,End-Cap,Yes,Yes,2097,35.9,Sweaters,Woman,75282.3
155674,Front Of Store,No,No,897,49.9,Sweaters,Woman,44760.3
182866,Aisle,No,Yes,1552,39.9,Sweaters,Woman,61924.8
148230,Front Of Store,Yes,No,2494,59.9,Sweaters,Woman,149390.6
126979,Front Of Store,No,No,2141,49.9,Sweaters,Woman,106835.9
135521,End-Cap,No,Yes,2835,39.9,Sweaters,Woman,113116.5
185809,End-Cap,No,No,622,49.9,Sweaters,Woman,31037.8
171520,End-Cap,Yes,Yes,2901,47.9,Sweaters,Woman,138957.9
122926,End-Cap,No,No,867,45.9,Sweaters,Woman,39795.3
150953,Front Of Store,Yes,Yes,2434,35.9,Sweaters,Woman,87380.6
115873,End-Cap,Yes,Yes,2606,59.9,Sweaters,Woman,156099.4
115581,Aisle,No,Yes,2728,47.9,Sweaters,Woman,130671.2
183634,Front Of Store,Yes,Yes,2778,27.9,Sweaters,Woman,77506.2
122484,Aisle,Yes,Yes,558,47.9,Sweaters,Woman,26728.2
183574,Aisle,Yes,Yes,1752,47.9,Sweaters,Woman,83920.8
185307,Front Of Store,No,Yes,2743,7.99,Sweaters,Woman,21916.57
118719,End-Cap,No,Yes,1669,45.9,Sweaters,Woman,76607.1
134788,Front Of Store,No,No,2179,45.9,Sweaters,Woman,100016.1
140142,Front Of Store,Yes,No,606,49.9,Sweaters,Woman,30239.4
153997,End-Cap,No,Yes,1608,45.9,Sweaters,Woman,73807.2
123230,Aisle,No,Yes,880,69.9,Jackets,Man,61512.0
154676,Aisle,No,No,943,69.9,Jackets,Man,65915.7
152985,Aisle,Yes,Yes,1049,89.9,Jackets,Man,94305.1
175584,Front Of Store,No,No,2084,69.9,Jeans,Man,145671.6
147491,End-Cap,No,No,1563,59.9,Jeans,Man,93623.7
198283,End-Cap,Yes,Yes,1558,69.9,Jeans,Man,108904.2
141547,End-Cap,No,No,1426,69.9,Jeans,Man,99677.4
156342,Front Of Store,Yes,Yes,1466,109.0,Jeans,Man,159794.0
186083,End-Cap,No,Yes,624,49.9,Jeans,Man,31137.6
171776,Aisle,Yes,No,1685,12.99,Jeans,Man,21888.15
134429,Aisle,No,No,2914,69.9,Jeans,Man,203688.6
172816,Aisle,No,Yes,1524,69.9,Sweaters,Man,106527.6
136272,End-Cap,No,Yes,2887,12.99,Sweaters,Man,37502.13
193227,End-Cap,Yes,Yes,1778,69.9,Sweaters,Man,124282.2
165786,End-Cap,No,Yes,1278,59.9,Sweaters,Man,76552.2
174708,Front Of Store,No,Yes,529,59.9,Sweaters,Man,31687.1
142257,Aisle,Yes,Yes,1180,19.9,T-Shirts,Man,23482.0
126146,Aisle,No,No,2759,39.9,T-Shirts,Man,110084.1
129134,Aisle,No,Yes,1831,29.9,T-Shirts,Man,54746.9
129898,End-Cap,No,No,1866,39.9,T-Shirts,Man,74453.4
189692,End-Cap,Yes,No,1553,39.9,T-Shirts,Man,61964.7
154846,End-Cap,Yes,No,917,39.9,T-Shirts,Man,36588.3
122307,End-Cap,No,No,702,49.9,T-Shirts,Man,35029.8
182099,Aisle,Yes,No,1978,39.9,T-Shirts,Man,78922.2
159816,Front Of Store,No,Yes,1961,27.9,T-Shirts,Man,54711.9
165326,Aisle,No,No,1188,45.9,T-Shirts,Man,54529.2
185154,Aisle,Yes,No,996,39.9,T-Shirts,Man,39740.4
141330,Aisle,No,Yes,1915,39.9,T-Shirts,Man,76408.5
158958,End-Cap,No,No,903,45.9,T-Shirts,Man,41447.7
155010,Aisle,Yes,Yes,729,45.9,T-Shirts,Man,33461.1
135857,Aisle,No,Yes,2045,45.9,T-Shirts,Man,93865.5
147690,Aisle,Yes,No,881,39.9,T-Shirts,Man,35151.9
130321,End-Cap,Yes,No,2093,39.9,T-Shirts,Man,83510.7
196752,End-Cap,No,No,2227,45.9,T-Shirts,Man,102219.3
181011,Aisle,Yes,Yes,994,89.9,Shoes,Man,89360.6
139967,End-Cap,No,No,2634,69.9,T-Shirts,Man,184116.6
162699,End-Cap,No,Yes,2732,89.9,Sweaters,Man,245606.8
119044,Aisle,No,Yes,1140,169.0,Sweaters,Man,192660.0
121348,End-Cap,No,Yes,1008,169.0,T-Shirts,Man,170352.0
163982,Front Of Store,No,No,2685,69.9,T-Shirts,Man,187681.5
185774,End-Cap,Yes,Yes,1145,19.99,T-Shirts,Man,22888.55
144651,Aisle,Yes,No,1791,139.0,T-Shirts,Man,248949.0
195103,Aisle,Yes,No,2849,109.0,T-Shirts,Man,310541.0
123047,Aisle,No,Yes,2985,109.0,T-Shirts,Man,325365.0
123077,Front Of Store,No,No,1603,109.0,T-Shirts,Man,174727.0
171860,Aisle,Yes,No,707,109.0,T-Shirts,Man,77063.0
149487,Aisle,No,Yes,1258,99.9,T-Shirts,Man,125674.2
168516,Front Of Store,Yes,No,2168,89.9,T-Shirts,Man,194903.2
177771,End-Cap,Yes,Yes,1764,69.9,T-Shirts,Man,123303.6
172015,End-Cap,Yes,Yes,2622,139.0,T-Shirts,Man,364458.0
118985,Aisle,No,Yes,694,139.0,T-Shirts,Man,96466.0
112194,Aisle,Yes,Yes,2187,109.0,Jackets,Man,238383.0
113435,Aisle,No,Yes,2973,129.0,Jackets,Man,383517.0
159182,Front Of Store,Yes,No,1014,169.0,Jackets,Man,171366.0
199233,Aisle,Yes,No,2222,159.0,Jackets,Man,353298.0
137044,Aisle,No,Yes,2534,12.99,Jackets,Man,32916.66
154736,Front Of Store,Yes,Yes,1466,19.9,Jackets,Man,29173.4
141434,Front Of Store,No,Yes,2870,39.9,Jackets,Man,114513.0
